StudyID,Species,Taxon.group,Endo.Ecto,linear.coefs,linear.coefs.se,elevation,abs.Lat,Genus,family,order,class
158,Parus major,V,Endo,0.006,0.027,39,52.0833,Parus,Paridae,Passeriformes,Ave
144,Carpodacus mexicanus,V,Endo,0.006,NA,971,46.8607,Carpodacus,Fringillidae,Passeriformes,Ave
144,Carpodacus mexicanus,V,Endo,0.006,NA,971,46.8607,Carpodacus,Fringillidae,Passeriformes,Ave
64,Ficedula albicollis,V,Endo,0.006,0.103,26,57.1667,Ficedula,Muscicapidae,Passeriformes,Ave
158,Parus major,V,Endo,0.007,0.038,39,52.0833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.007,0.066,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.007,0.032,-2,53.2833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.008,0.073,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.009,0.05,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.009,0.025,39,52.0833,Parus,Paridae,Passeriformes,Ave
51,Poecilia reticulata,V,Ecto,0.01,NA,88,10.4606,Poecilia,Poecilidae,Cyprinodontiformes,Actinopterygii
75,Salmo salar,V,Ecto,0.01,NA,124,42.4167,Salmo,Salmonidae,Salmoniformes,Actinopterygii
75,Salmo salar,V,Ecto,0.01,NA,124,42.4167,Salmo,Salmonidae,Salmoniformes,Actinopterygii
158,Parus major,V,Endo,0.01,0.059,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.01,0.035,39,52.0833,Parus,Paridae,Passeriformes,Ave
112,Zosterops lateralis chlorocephalus,V,Endo,0.01,0.05,-17,23.4333,Zosterops,Zosteropidae,Passeriformes,Ave
112,Zosterops lateralis chlorocephalus,V,Endo,0.01,0.08,-17,23.4333,Zosterops,Zosteropidae,Passeriformes,Ave
158,Parus major,V,Endo,0.011,0.035,-2,53.2833,Parus,Paridae,Passeriformes,Ave
144,Carpodacus mexicanus,V,Endo,0.013,NA,971,46.8607,Carpodacus,Fringillidae,Passeriformes,Ave
144,Carpodacus mexicanus,V,Endo,0.013,NA,971,46.8607,Carpodacus,Fringillidae,Passeriformes,Ave
158,Parus major,V,Endo,0.013,0.041,39,52.0833,Parus,Paridae,Passeriformes,Ave
144,Carpodacus mexicanus,V,Endo,0.014,NA,971,46.8607,Carpodacus,Fringillidae,Passeriformes,Ave
36,Parus major,V,Endo,0.014,0.033,113,51.7773,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.015,0.036,-2,53.2833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.015,0.034,-2,53.2833,Parus,Paridae,Passeriformes,Ave
93,Psilocorsis quercicella,I,Ecto,0.016,0.008,184,39.0369,Psilocorsis,Depressariidae,Lepidoptera,Insecta
158,Parus major,V,Endo,0.016,0.029,39,52.0833,Parus,Paridae,Passeriformes,Ave
11,Calopteryx splendens,I,Ecto,0.016414,NA,33,55.6333,Calopteryx,Calopterygidae,Odonata,Insecta
158,Parus major,V,Endo,0.017,0.037,39,52.0833,Parus,Paridae,Passeriformes,Ave
67,Ovis aries,V,Endo,0.017,0.071,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
158,Parus major,V,Endo,0.017,0.035,-2,53.2833,Parus,Paridae,Passeriformes,Ave
144,Carpodacus mexicanus,V,Endo,0.018,NA,971,46.8607,Carpodacus,Fringillidae,Passeriformes,Ave
158,Parus major,V,Endo,0.018,0.032,-2,53.2833,Parus,Paridae,Passeriformes,Ave
144,Carpodacus mexicanus,V,Endo,0.019,NA,971,46.8607,Carpodacus,Fringillidae,Passeriformes,Ave
67,Ovis aries,V,Endo,0.019,0.05,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
51,Poecilia reticulata,V,Ecto,0.02,NA,88,10.4606,Poecilia,Poecilidae,Cyprinodontiformes,Actinopterygii
75,Salmo salar,V,Ecto,0.02,NA,124,42.4167,Salmo,Salmonidae,Salmoniformes,Actinopterygii
158,Parus major,V,Endo,0.02,0.036,39,52.0833,Parus,Paridae,Passeriformes,Ave
79,Phasianus colchicus,V,Endo,0.02,NA,17,55.7232,Phasianus,Phasianidae,Galliformes,Ave
67,Ovis aries,V,Endo,0.021,0.058,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
158,Parus major,V,Endo,0.021,0.07,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.021,0.029,39,52.0833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.021,0.04,39,52.0833,Parus,Paridae,Passeriformes,Ave
67,Ovis aries,V,Endo,0.022,0.159,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
158,Parus major,V,Endo,0.022,0.059,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.023,0.03,39,52.0833,Parus,Paridae,Passeriformes,Ave
144,Carpodacus mexicanus,V,Endo,0.023,NA,971,46.8607,Carpodacus,Fringillidae,Passeriformes,Ave
158,Parus major,V,Endo,0.024,0.035,39,52.0833,Parus,Paridae,Passeriformes,Ave
67,Ovis aries,V,Endo,0.024,0.019,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
158,Parus major,V,Endo,0.024,0.056,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.024,0.051,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.025,0.035,-2,53.2833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.027,0.061,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.027,0.038,-2,53.2833,Parus,Paridae,Passeriformes,Ave
61,Negaprion brevirostris,V,Ecto,0.029,NA,8,25.745,Negaprion,Carcharhinidae,Elasmobranchii,Chondrichthyes
67,Ovis aries,V,Endo,0.029,0.017,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
11,Calopteryx splendens,I,Ecto,0.029132,NA,33,55.6333,Calopteryx,Calopterygidae,Odonata,Insecta
11,Calopteryx splendens,I,Ecto,0.029684,NA,33,55.6333,Calopteryx,Calopterygidae,Odonata,Insecta
75,Salmo salar,V,Ecto,0.03,NA,124,42.4167,Salmo,Salmonidae,Salmoniformes,Actinopterygii
75,Salmo salar,V,Ecto,0.03,NA,124,42.4167,Salmo,Salmonidae,Salmoniformes,Actinopterygii
132,Anolis sagrei,V,Ecto,0.03,0.015,-1,23.4833,Anolis,Dactyloidae,Squamata,Reptilia
79,Phasianus colchicus,V,Endo,0.03,NA,17,55.7232,Phasianus,Phasianidae,Galliformes,Ave
79,Phasianus colchicus,V,Endo,0.03,NA,17,55.7232,Phasianus,Phasianidae,Galliformes,Ave
112,Zosterops lateralis chlorocephalus,V,Endo,0.03,0.07,-17,23.4333,Zosterops,Zosteropidae,Passeriformes,Ave
112,Zosterops lateralis chlorocephalus,V,Endo,0.03,0.07,-17,23.4333,Zosterops,Zosteropidae,Passeriformes,Ave
144,Carpodacus mexicanus,V,Endo,0.031,NA,971,46.8607,Carpodacus,Fringillidae,Passeriformes,Ave
158,Parus major,V,Endo,0.031,0.054,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.031,0.061,10,51.641,Parus,Paridae,Passeriformes,Ave
11,Calopteryx splendens,I,Ecto,0.031032,NA,10,55.7,Calopteryx,Calopterygidae,Odonata,Insecta
158,Parus major,V,Endo,0.032,0.036,39,52.0833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.033,0.025,39,52.0833,Parus,Paridae,Passeriformes,Ave
61,Negaprion brevirostris,V,Ecto,0.0338474,NA,8,25.745,Negaprion,Carcharhinidae,Elasmobranchii,Chondrichthyes
144,Carpodacus mexicanus,V,Endo,0.034,NA,971,46.8607,Carpodacus,Fringillidae,Passeriformes,Ave
158,Parus major,V,Endo,0.035,0.036,39,52.0833,Parus,Paridae,Passeriformes,Ave
144,Carpodacus mexicanus,V,Endo,0.035,NA,971,46.8607,Carpodacus,Fringillidae,Passeriformes,Ave
158,Parus major,V,Endo,0.035,0.06,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.035,0.038,39,52.0833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.036,0.041,39,52.0833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.036,0.031,-2,53.2833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.036,0.032,-2,53.2833,Parus,Paridae,Passeriformes,Ave
15,Parus caeruleus,V,Endo,0.037727526,0.19937037,593,42.55,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.038,0.026,39,52.0833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.038,0.035,-2,53.2833,Parus,Paridae,Passeriformes,Ave
83,Ovis aries,V,Endo,0.0384,0.0191,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
11,Calopteryx splendens,I,Ecto,0.039124,NA,33,55.6333,Calopteryx,Calopterygidae,Odonata,Insecta
61,Negaprion brevirostris,V,Ecto,0.04,NA,8,25.745,Negaprion,Carcharhinidae,Elasmobranchii,Chondrichthyes
132,Anolis sagrei,V,Ecto,0.04,0.12,-1,23.4833,Anolis,Dactyloidae,Squamata,Reptilia
158,Parus major,V,Endo,0.04,0.038,-2,53.2833,Parus,Paridae,Passeriformes,Ave
144,Carpodacus mexicanus,V,Endo,0.043,NA,971,46.8607,Carpodacus,Fringillidae,Passeriformes,Ave
158,Parus major,V,Endo,0.043,0.055,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.043,0.052,10,51.641,Parus,Paridae,Passeriformes,Ave
83,Ovis aries,V,Endo,0.0434,0.0181,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
93,Psilocorsis quercicella,I,Ecto,0.044,0.01,184,39.0369,Psilocorsis,Depressariidae,Lepidoptera,Insecta
158,Parus major,V,Endo,0.045,0.031,-2,53.2833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.046,0.028,39,52.0833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.046,0.116,10,51.641,Parus,Paridae,Passeriformes,Ave
11,Calopteryx splendens,I,Ecto,0.046468,NA,33,55.6333,Calopteryx,Calopterygidae,Odonata,Insecta
158,Parus major,V,Endo,0.047,0.03,-2,53.2833,Parus,Paridae,Passeriformes,Ave
11,Calopteryx splendens,I,Ecto,0.047668,NA,10,55.7,Calopteryx,Calopterygidae,Odonata,Insecta
158,Parus major,V,Endo,0.048,0.027,39,52.0833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.048,0.035,-2,53.2833,Parus,Paridae,Passeriformes,Ave
144,Carpodacus mexicanus,V,Endo,0.049,NA,971,46.8607,Carpodacus,Fringillidae,Passeriformes,Ave
158,Parus major,V,Endo,0.049,0.038,-2,53.2833,Parus,Paridae,Passeriformes,Ave
75,Salmo salar,V,Ecto,0.05,NA,124,42.4167,Salmo,Salmonidae,Salmoniformes,Actinopterygii
158,Parus major,V,Endo,0.05,0.025,39,52.0833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.051,0.053,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.051,0.053,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.051,0.047,-2,53.2833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.054,0.03,-2,53.2833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.055,0.035,39,52.0833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.055,0.042,-2,53.2833,Parus,Paridae,Passeriformes,Ave
93,Psilocorsis quercicella,I,Ecto,0.056,0.096,184,39.0369,Psilocorsis,Depressariidae,Lepidoptera,Insecta
158,Parus major,V,Endo,0.056,0.032,-2,53.2833,Parus,Paridae,Passeriformes,Ave
11,Calopteryx splendens,I,Ecto,0.056529,NA,33,55.6333,Calopteryx,Calopterygidae,Odonata,Insecta
15,Parus caeruleus,V,Endo,0.056992962,0.10848723,593,42.55,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.057,0.06,10,51.641,Parus,Paridae,Passeriformes,Ave
51,Poecilia reticulata,V,Ecto,0.06,NA,88,10.4606,Poecilia,Poecilidae,Cyprinodontiformes,Actinopterygii
64,Ficedula albicollis,V,Endo,0.06,0.071,26,57.1667,Ficedula,Muscicapidae,Passeriformes,Ave
158,Parus major,V,Endo,0.06,0.031,-2,53.2833,Parus,Paridae,Passeriformes,Ave
79,Phasianus colchicus,V,Endo,0.06,NA,17,55.7232,Phasianus,Phasianidae,Galliformes,Ave
112,Zosterops lateralis chlorocephalus,V,Endo,0.06,0.06,-17,23.4333,Zosterops,Zosteropidae,Passeriformes,Ave
74,Oncorhynchus nerka,V,Ecto,0.061,0.022,19,59.3217,Oncorhynchus,Salmonidae,Salmoniformes,Actinopterygii
158,Parus major,V,Endo,0.062,0.084,10,51.641,Parus,Paridae,Passeriformes,Ave
15,Parus caeruleus,V,Endo,0.062463034,0.17362483,232,43.6667,Parus,Paridae,Passeriformes,Ave
37,Stegastes partitus,V,Ecto,0.063,0.052,0,23.6725,Stegastes,Pomacentridae,Blenniformes,Actinopterygii
158,Parus major,V,Endo,0.064,0.06,10,51.641,Parus,Paridae,Passeriformes,Ave
119,Aquarius remigis,I,Ecto,0.065,NA,31,45.5167,Aquarius,Gerridae,Hemiptera,Insecta
158,Parus major,V,Endo,0.065,0.05,-2,53.2833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.065,0.05,-2,53.2833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.065,0.034,-2,53.2833,Parus,Paridae,Passeriformes,Ave
15,Parus caeruleus,V,Endo,0.065809118,0.43330832,232,43.6667,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.066,0.036,-2,53.2833,Parus,Paridae,Passeriformes,Ave
67,Ovis aries,V,Endo,0.067,0.128,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
158,Parus major,V,Endo,0.069,0.057,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.069,0.035,39,52.0833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.071,0.041,39,52.0833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.071,0.043,-2,53.2833,Parus,Paridae,Passeriformes,Ave
61,Negaprion brevirostris,V,Ecto,0.073,NA,8,25.745,Negaprion,Carcharhinidae,Elasmobranchii,Chondrichthyes
83,Ovis aries,V,Endo,0.0733,0.0292,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
158,Parus major,V,Endo,0.074,0.036,39,52.0833,Parus,Paridae,Passeriformes,Ave
67,Ovis aries,V,Endo,0.075,0.026,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
158,Parus major,V,Endo,0.076,0.041,-2,53.2833,Parus,Paridae,Passeriformes,Ave
11,Calopteryx splendens,I,Ecto,0.076229,NA,10,55.7,Calopteryx,Calopterygidae,Odonata,Insecta
83,Ovis aries,V,Endo,0.0765,0.0308,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
36,Parus major,V,Endo,0.078,0.042,113,51.7773,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.079,0.076,10,51.641,Parus,Paridae,Passeriformes,Ave
112,Zosterops lateralis chlorocephalus,V,Endo,0.08,0.09,-17,23.4333,Zosterops,Zosteropidae,Passeriformes,Ave
158,Parus major,V,Endo,0.082,0.056,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.084,0.039,-2,53.2833,Parus,Paridae,Passeriformes,Ave
15,Parus caeruleus,V,Endo,0.085026117,0.32691836,593,42.55,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.087,0.031,-2,53.2833,Parus,Paridae,Passeriformes,Ave
75,Salmo salar,V,Ecto,0.09,NA,124,42.4167,Salmo,Salmonidae,Salmoniformes,Actinopterygii
67,Ovis aries,V,Endo,0.091,0.047,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
158,Parus major,V,Endo,0.091,0.035,-2,53.2833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.092,0.035,-2,53.2833,Parus,Paridae,Passeriformes,Ave
64,Ficedula albicollis,V,Endo,0.093,0.072,26,57.1667,Ficedula,Muscicapidae,Passeriformes,Ave
11,Calopteryx splendens,I,Ecto,0.097836,NA,10,55.7,Calopteryx,Calopterygidae,Odonata,Insecta
51,Poecilia reticulata,V,Ecto,0.1,NA,88,10.4606,Poecilia,Poecilidae,Cyprinodontiformes,Actinopterygii
144,Carpodacus mexicanus,V,Endo,0.102,NA,971,46.8607,Carpodacus,Fringillidae,Passeriformes,Ave
11,Calopteryx splendens,I,Ecto,0.102519,NA,33,55.6333,Calopteryx,Calopterygidae,Odonata,Insecta
158,Parus major,V,Endo,0.104,0.056,10,51.641,Parus,Paridae,Passeriformes,Ave
64,Ficedula albicollis,V,Endo,0.106,0.066,26,57.1667,Ficedula,Muscicapidae,Passeriformes,Ave
83,Ovis aries,V,Endo,0.1093,0.0233,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
11,Calopteryx splendens,I,Ecto,0.109458,NA,10,55.7,Calopteryx,Calopterygidae,Odonata,Insecta
73,Lacerta agilis,V,Ecto,0.111,0.507,5,57.3947,Lacerta,Laceratidae,Squamata,Reptilia
67,Ovis aries,V,Endo,0.114,0.037,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
158,Parus major,V,Endo,0.114,0.032,-2,53.2833,Parus,Paridae,Passeriformes,Ave
15,Parus caeruleus,V,Endo,0.114321351,0.17369939,593,42.55,Parus,Paridae,Passeriformes,Ave
11,Calopteryx splendens,I,Ecto,0.116754,NA,33,55.6333,Calopteryx,Calopterygidae,Odonata,Insecta
67,Ovis aries,V,Endo,0.117,0.063,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
15,Parus caeruleus,V,Endo,0.117496208,0.43465373,29,42.5667,Parus,Paridae,Passeriformes,Ave
15,Parus caeruleus,V,Endo,0.117628875,0.32669232,593,42.55,Parus,Paridae,Passeriformes,Ave
144,Carpodacus mexicanus,V,Endo,0.118,NA,971,46.8607,Carpodacus,Fringillidae,Passeriformes,Ave
64,Ficedula albicollis,V,Endo,0.119,0.063,26,57.1667,Ficedula,Muscicapidae,Passeriformes,Ave
15,Parus caeruleus,V,Endo,0.125487929,0.33358189,593,42.55,Parus,Paridae,Passeriformes,Ave
93,Psilocorsis quercicella,I,Ecto,0.127,0.018,184,39.0369,Psilocorsis,Depressariidae,Lepidoptera,Insecta
158,Parus major,V,Endo,0.129,0.051,39,52.0833,Parus,Paridae,Passeriformes,Ave
75,Salmo salar,V,Ecto,0.13,NA,124,42.4167,Salmo,Salmonidae,Salmoniformes,Actinopterygii
101,Zosterops lateralis chlorocephalus,V,Endo,0.131,NA,-17,23.4333,Zosterops,Zosteropidae,Passeriformes,Ave
158,Parus major,V,Endo,0.135,0.076,10,51.641,Parus,Paridae,Passeriformes,Ave
67,Ovis aries,V,Endo,0.137,0.133,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
150,Chrysemys picta,V,Ecto,0.14,0.473,184,41.9586,Chrysemys,Emydidae,Testudines,Reptilia
11,Calopteryx splendens,I,Ecto,0.140143,NA,33,55.6333,Calopteryx,Calopterygidae,Odonata,Insecta
61,Negaprion brevirostris,V,Ecto,0.141723,NA,8,25.745,Negaprion,Carcharhinidae,Elasmobranchii,Chondrichthyes
83,Ovis aries,V,Endo,0.1419,0.0341,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
37,Stegastes partitus,V,Ecto,0.145,0.05,-24,23.7429,Stegastes,Pomacentridae,Blenniformes,Actinopterygii
83,Ovis aries,V,Endo,0.1491,0.033,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
67,Ovis aries,V,Endo,0.15,0.18,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
51,Poecilia reticulata,V,Ecto,0.15,NA,88,10.4606,Poecilia,Poecilidae,Cyprinodontiformes,Actinopterygii
11,Calopteryx splendens,I,Ecto,0.153125,NA,33,55.6333,Calopteryx,Calopterygidae,Odonata,Insecta
15,Parus caeruleus,V,Endo,0.157813437,0.33280232,29,42.5667,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.16,0.085,10,51.641,Parus,Paridae,Passeriformes,Ave
112,Zosterops lateralis chlorocephalus,V,Endo,0.16,0.07,-17,23.4333,Zosterops,Zosteropidae,Passeriformes,Ave
158,Parus major,V,Endo,0.164,0.054,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.164,0.034,39,52.0833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,0.166,0.089,10,51.641,Parus,Paridae,Passeriformes,Ave
83,Ovis aries,V,Endo,0.1675,0.0317,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
83,Ovis aries,V,Endo,0.1675,0.0288,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
67,Ovis aries,V,Endo,0.169,0.069,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
158,Parus major,V,Endo,0.169,0.055,10,51.641,Parus,Paridae,Passeriformes,Ave
64,Ficedula albicollis,V,Endo,0.17,0.11,26,57.1667,Ficedula,Muscicapidae,Passeriformes,Ave
15,Parus caeruleus,V,Endo,0.170191358,0.20053371,593,42.55,Parus,Paridae,Passeriformes,Ave
83,Ovis aries,V,Endo,0.1737,0.0314,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
11,Calopteryx splendens,I,Ecto,0.177147,NA,33,55.6333,Calopteryx,Calopterygidae,Odonata,Insecta
83,Ovis aries,V,Endo,0.1782,0.0381,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
112,Zosterops lateralis chlorocephalus,V,Endo,0.18,0.06,-17,23.4333,Zosterops,Zosteropidae,Passeriformes,Ave
158,Parus major,V,Endo,0.184,0.134,39,52.0833,Parus,Paridae,Passeriformes,Ave
15,Parus caeruleus,V,Endo,0.192143385,0.24575099,232,43.6667,Parus,Paridae,Passeriformes,Ave
15,Parus caeruleus,V,Endo,0.199318326,0.28016233,593,42.55,Parus,Paridae,Passeriformes,Ave
64,Ficedula albicollis,V,Endo,0.202,0.068,26,57.1667,Ficedula,Muscicapidae,Passeriformes,Ave
11,Calopteryx splendens,I,Ecto,0.202397,NA,33,55.6333,Calopteryx,Calopterygidae,Odonata,Insecta
15,Parus caeruleus,V,Endo,0.203348995,0.40484303,232,43.6667,Parus,Paridae,Passeriformes,Ave
64,Ficedula albicollis,V,Endo,0.206,0.116,26,57.1667,Ficedula,Muscicapidae,Passeriformes,Ave
79,Phasianus colchicus,V,Endo,0.21,NA,17,55.7232,Phasianus,Phasianidae,Galliformes,Ave
83,Ovis aries,V,Endo,0.2103,0.0347,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
64,Ficedula albicollis,V,Endo,0.211,0.097,26,57.1667,Ficedula,Muscicapidae,Passeriformes,Ave
15,Parus caeruleus,V,Endo,0.211055876,0.20573762,232,43.6667,Parus,Paridae,Passeriformes,Ave
83,Ovis aries,V,Endo,0.2114,0.0336,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
67,Ovis aries,V,Endo,0.214,0.163,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
15,Parus caeruleus,V,Endo,0.215026664,0.23219362,232,43.6667,Parus,Paridae,Passeriformes,Ave
150,Chrysemys picta,V,Ecto,0.222,0.159,184,41.9586,Chrysemys,Emydidae,Testudines,Reptilia
11,Calopteryx splendens,I,Ecto,0.222877,NA,33,55.6333,Calopteryx,Calopterygidae,Odonata,Insecta
67,Ovis aries,V,Endo,0.224,0.372,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
150,Chrysemys picta,V,Ecto,0.227,0.041,184,41.9586,Chrysemys,Emydidae,Testudines,Reptilia
64,Ficedula albicollis,V,Endo,0.233,0.069,26,57.1667,Ficedula,Muscicapidae,Passeriformes,Ave
15,Parus caeruleus,V,Endo,0.236961024,0.41566047,29,42.5667,Parus,Paridae,Passeriformes,Ave
150,Chrysemys picta,V,Ecto,0.239,0.145,184,41.9586,Chrysemys,Emydidae,Testudines,Reptilia
67,Ovis aries,V,Endo,0.244,0.197,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
